time_tick,lac_X_value,lac_Y_value,lac_Z_value,turn,success,hoop
31.568498,0.940267,-2.017501,0.158061,5,1,1
31.603227,1.177304,-1.686888,0.175317,5,1,1
31.637895,1.362504,-1.197751,0.282904,5,1,1
31.667649,1.643006,-0.96426,0.54911,5,1,1
31.702348,1.49004,-1.015215,0.250441,5,1,1
31.737046,0.91382,-0.368365,0.817048,5,1,1
31.771745,0.98131,-0.772996,0.450861,5,1,1
31.801499,1.445733,-0.44695,0.308356,5,1,1
31.836198,0.798944,0.115421,0.592816,5,1,1
31.870896,1.293823,0.140651,0.417785,5,1,1
31.905595,0.47245,-0.245175,0.80357,5,1,1
31.935319,0.452964,-0.261632,0.600677,5,1,1
31.970048,1.024739,0.062008,0.234267,5,1,1
32.004716,1.981843,1.766161,1.186867,5,1,1
32.03447,3.35241,2.446278,-0.034555,5,1,1
32.069195,1.16592,1.382141,1.010636,5,1,1
32.103863,2.555591,0.624821,0.539088,5,1,1
32.138592,-0.310699,0.421321,0.762842,5,1,1
32.17326,0.086863,0.553712,-0.160563,5,1,1
32.203015,0.038922,0.614443,0.044397,5,1,1
32.237714,-0.214493,0.554204,0.058639,5,1,1
32.272412,-1.097999,0.6976,0.00505,5,1,1
32.302167,-0.751742,1.153144,0.008423,5,1,1
32.336865,-0.018771,2.045197,0.063367,5,1,1
32.371564,0.331285,1.899974,-0.017246,5,1,1
32.401288,-0.908647,1.210618,-0.500417,5,1,1
32.436017,-2.11371,-0.687243,0.211933,5,1,1
32.470685,-8.389532,-1.919105,2.444456,5,1,1
32.505414,-15.482907,-5.731449,4.046379,5,1,1
32.540112,-28.090267,-6.821587,-3.599785,5,1,1
32.569836,-18.143031,-8.931602,-7.736594,5,1,1
32.604565,-12.320332,-11.847709,-4.31271,5,1,1
32.639233,-12.312687,-14.111506,-5.585071,5,1,1
32.668988,-8.046831,-24.296929,-0.481224,5,1,1
32.703686,34.536981,-22.586949,4.958093,5,1,1
32.738385,27.057306,-16.202416,-29.927235,5,1,1
32.76814,10.131863,0.385901,-6.327553,5,1,1
32.802838,19.400384,-1.783404,-0.753552,5,1,1
32.837537,2.003949,-3.832623,-3.505473,5,1,1
32.872235,-0.053323,-1.094814,-4.178881,5,1,1
32.90199,3.180127,-2.164092,-0.702353,5,1,1
32.936658,4.496777,1.310667,3.03109,5,1,1
32.971387,-2.941717,0.062515,1.494721,5,1,1
33.006085,-7.584552,-3.078967,-1.450068,5,1,1
33.035809,0.080891,-6.176641,3.072725,5,1,1
33.070516,2.086865,-9.722817,2.561166,5,1,1
33.105184,1.101252,-4.237116,1.019938,5,1,1
33.134939,2.417553,-4.927477,2.870948,5,1,1
33.169637,1.930207,-5.185617,1.917936,5,1,1
33.204336,0.166673,-2.512387,-0.924183,5,1,1
33.239065,0.671532,-1.421556,0.173417,5,1,1
33.268789,-0.104268,-1.56424,-0.578158,5,1,1
33.303487,0.608654,-0.007611,-2.174768,5,1,1
33.338186,0.000249,0.029445,-1.159009,5,1,1
33.372884,-0.125167,-2.565548,-2.05867,5,1,1
33.402639,-0.156895,0.601553,-1.058173,5,1,1
33.437338,-1.879618,0.786244,-0.992441,5,1,1
33.472036,0.339174,-2.307077,-0.484346,5,1,1
33.50176,1.093063,-1.840141,0.626818,5,1,1
33.536489,1.537797,-0.218865,0.000574,5,1,1
33.571157,0.931966,0.64001,-1.10158,5,1,1
33.605886,-0.372366,0.821,-1.071061,5,1,1
33.635641,-1.639784,0.993909,-1.656895,5,1,1
33.670309,-2.438318,1.32213,-1.981628,5,1,1
33.705038,-2.379817,-1.163287,-1.10024,5,1,1
33.739706,-1.372076,-3.444492,0.537873,5,1,1
33.76946,-2.102036,-3.22265,1.870026,5,1,1
33.804159,-2.637515,-3.3635,2.530813,5,1,1
33.838857,-3.573536,-0.229355,1.635455,5,1,1
33.868612,-4.299155,-0.943664,0.213467,5,1,1
33.90331,-2.748699,-1.023114,-0.228658,5,1,1
33.938009,-0.222905,-0.384936,-0.5287,5,1,1
33.972707,0.729383,-0.793688,-0.236109,5,1,1
34.002462,1.309411,-0.389099,0.354707,5,1,1
34.03713,0.574828,-0.100171,0.421733,5,1,1
34.07184,-0.048582,0.373247,0.794799,5,1,1
34.106539,-0.740084,-0.140196,0.358343,5,1,1
34.136263,-0.379797,-0.248871,0.444496,5,1,1
34.170992,0.008349,-0.20726,0.494769,5,1,1
34.20566,-0.251475,-0.114611,0.352718,5,1,1
34.235414,-0.221324,-0.222774,0.42446,5,1,1
34.270113,-0.187124,0.108074,0.421634,5,1,1
34.304811,-0.304026,0.342986,0.299854,5,1,1
34.33954,-0.194809,0.216644,-0.094926,5,1,1
34.369264,0.189821,0.257019,0.112421,5,1,1
34.403963,0.669971,0.461705,0.227958,5,1,1
34.433687,0.726949,0.522252,0.009019,5,1,1
34.468416,0.411537,-0.139043,-0.046012,5,1,1
34.503084,0.189692,-0.020688,0.248634,5,1,1
34.537813,-0.129667,0.233627,0.477285,5,1,1
34.572511,-0.619973,0.42203,0.407382,5,1,1
34.602236,-0.712846,0.323113,0.001426,5,1,1
34.636965,-0.440488,0.081747,-0.136377,5,1,1
34.671632,0.041878,0.366302,-0.128113,5,1,1
34.706361,0.156657,0.069191,-0.141588,5,1,1
34.736086,0.142837,0.021125,-0.130996,5,1,1
34.770784,0.010031,-0.827986,-0.35115,5,1,1
34.805513,0.37804,-0.246157,-0.253072,5,1,1
34.840181,0.909725,0.528816,-0.476502,5,1,1
34.869936,0.890228,0.521375,-0.655185,5,1,1
34.904634,0.779674,0.206882,-0.736156,5,1,1
34.939333,0.599576,-0.081514,-0.325926,5,1,1
34.969057,0.652699,-0.068063,0.018199,5,1,1
35.003786,0.929582,-0.039737,0.180289,5,1,1
35.038484,1.07214,-0.188086,0.037873,5,1,1
35.068186,1.026854,-0.149908,0.049248,5,1,1
35.102915,0.720178,-0.186035,-0.01876,5,1,1
