time_tick,lac_X_value,lac_Y_value,lac_Z_value,Turn,Success
51.29661,-0.01324,-0.068896,-0.457031,8,0
51.331278,0.111474,-0.170347,-0.339867,8,0
51.361032,0.187952,-0.041555,-0.437951,8,0
51.395761,0.668845,-0.433217,-0.198844,8,0
51.430429,0.702661,-0.247698,-0.489716,8,0
51.460184,0.114945,0.00553,-0.692857,8,0
51.494913,0.844994,0.763832,-0.492187,8,0
51.529581,2.1305,0.577363,-0.276088,8,0
51.56431,2.51056,-1.027218,0.742455,8,0
51.599009,2.709183,-0.874237,0.530282,8,0
51.628733,3.000887,-2.0937,0.564722,8,0
51.663462,0.03925,-1.875364,-1.641654,8,0
51.69816,-3.907809,1.812575,-3.910177,8,0
51.727874,-5.803622,2.927691,-2.099544,8,0
51.762603,-5.010958,1.802123,-0.358752,8,0
51.797302,-2.539325,1.760701,-1.783223,8,0
51.827026,2.713922,-1.268141,-0.401781,8,0
51.861755,1.42068,-1.425182,2.314291,8,0
51.896453,1.454898,-0.994155,-0.259302,8,0
51.931152,-0.72302,-0.616858,0.056457,8,0
51.960907,-0.312021,-0.11703,0.86474,8,0
51.995605,0.190183,0.673833,-0.190401,8,0
52.030303,0.398215,0.149259,-0.750356,8,0
52.065002,0.227256,0.082214,-0.76766,8,0
52.094757,0.560166,0.371092,-0.687962,8,0
52.129455,0.846522,0.284474,-0.654461,8,0
52.164154,-0.625153,-0.074773,-1.458148,8,0
52.193908,-0.890822,0.621436,-0.831255,8,0
52.228607,-0.989204,0.582035,0.093206,8,0
52.263305,-2.388242,-0.304409,-0.242724,8,0
52.293029,-1.70096,0.648824,0.766344,8,0
52.327758,-0.687136,0.342718,0.102038,8,0
52.362457,0.030964,-0.448686,-0.227221,8,0
52.397155,0.313113,-0.158779,0.071308,8,0
52.431854,0.247943,-0.275009,0.294857,8,0
52.461608,0.23321,-0.122141,-0.230405,8,0
52.496307,0.380307,-0.023828,0.067824,8,0
52.531005,0.228251,0.058263,0.265393,8,0
52.56076,-0.018291,-0.090042,0.524756,8,0
52.595459,-0.04867,-0.062574,0.293964,8,0
52.630157,-0.595002,0.291469,0.500372,8,0
52.659912,-0.878084,1.019298,0.30714,8,0
52.69461,-0.934351,0.810494,-0.119618,8,0
52.72929,-0.821206,0.971157,0.640168,8,0
52.764019,-0.518868,1.540598,-0.023698,8,0
52.798687,-0.457225,0.825328,-0.054769,8,0
52.828441,0.35147,0.747629,-0.372091,8,0
52.86317,0.817697,-0.237444,-0.112521,8,0
52.897838,0.430133,0.814873,0.047014,8,0
52.927593,0.234461,1.183008,-0.718073,8,0
52.962322,-0.506488,0.598724,0.031382,8,0
52.99699,0.404255,0.168082,0.50114,8,0
53.026744,0.853874,2.024868,1.062818,8,0
53.061473,0.049631,1.978048,-0.290078,8,0
53.096141,-0.671845,-0.984248,-0.927056,8,0
53.13087,-0.736276,-1.096673,0.442799,8,0
53.160595,-0.463043,-2.408387,0.485227,8,0
53.195293,-0.187237,-3.655434,0.530753,8,0
53.230022,-0.126236,-3.677282,1.132145,8,0
53.26469,-0.258819,-3.058928,1.012443,8,0
53.294445,-1.684977,-2.760595,1.200193,8,0
53.329174,-3.076694,-2.70376,2.172928,8,0
53.363842,-5.524407,-2.664669,4.138225,8,0
53.393596,-8.761722,-2.271691,4.368518,8,0
53.428325,-13.388565,-1.926598,6.379216,8,0
53.462993,-23.571761,-0.39158,9.442234,8,0
53.492748,-27.289512,-0.098107,7.166111,8,0
53.532421,-21.267777,-8.940525,-9.167567,8,0
53.562145,-11.576261,-16.83002,-7.581638,8,0
53.596874,1.001538,-32.266383,-7.44962,8,0
53.631572,1.368707,-27.814104,-35.876431,8,0
53.661296,42.524905,-5.489322,-49.824147,8,0
53.696025,13.504594,-6.579669,-7.990111,8,0
53.730738,-13.357999,-4.331281,-18.385751,8,0
53.760462,-16.248306,-2.85022,-6.545612,8,0
53.795191,5.132965,-2.432237,-8.703982,8,0
53.82989,6.892827,-4.591265,-6.431949,8,0
53.864588,3.113399,-5.668204,-3.495889,8,0
53.894343,3.757386,0.32828,7.2014,8,0
53.929041,-2.332688,2.97365,4.442309,8,0
53.96374,1.566503,7.344605,8.078398,8,0
53.998438,-3.128996,-0.188727,9.499345,8,0
54.028193,-1.596559,-2.227045,6.03755,8,0
54.067835,-0.086831,-0.186351,4.70917,8,0
54.09759,-2.528294,1.767387,3.418253,8,0
54.127344,-2.078579,0.070267,1.682541,8,0
54.162043,-0.718776,-3.109421,1.308751,8,0
54.196741,-0.770724,-2.709922,-0.42585,8,0
54.23144,-0.867789,-0.597637,-1.287317,8,0
54.261194,-0.566252,0.140949,-1.19853,8,0
54.295893,-0.558258,0.012478,-0.798248,8,0
54.330591,0.235407,-0.170512,-0.76195,8,0
54.370264,0.050312,0.038174,-1.249427,8,0
54.395045,-0.44607,0.173633,-1.163935,8,0
54.429743,-0.087434,0.32229,-0.960303,8,0
54.469416,0.178492,0.309678,-0.523218,8,0
54.494196,-0.085088,0.308894,-0.155318,8,0
54.528895,-0.396366,0.131156,-0.418702,8,0
54.563593,-0.421041,0.160815,-0.398622,8,0
54.593348,-0.152183,0.181502,-0.227848,8,0
54.628046,-0.294981,-0.342342,-0.640961,8,0
54.662745,-0.077809,-0.495254,-0.524544,8,0
54.697474,-0.319135,0.040278,-0.76976,8,0
54.732128,-0.168866,-0.036945,-0.828523,8,0
54.761882,0.127234,0.119889,-1.44971,8,0
54.796611,0.707956,0.221211,-2.067961,8,0
54.831279,1.421931,0.159789,-2.312578,8,0
54.861034,2.423986,-0.009015,-2.846562,8,0
54.895763,3.84465,-0.059492,-3.296258,8,0
54.930431,4.683086,0.374828,-3.564787,8,0
54.96516,5.402134,-0.329647,-1.688225,8,0
54.994915,5.037423,-1.380811,-0.71262,8,0
55.029583,3.421519,-2.738462,-0.796425,8,0
55.064312,-0.557554,-6.205977,1.598573,8,0
55.094066,-2.093177,-5.062586,1.654682,8,0
55.128734,-2.115809,-2.55589,1.975504,8,0
55.163463,-1.27822,-1.608142,1.867837,8,0
55.198162,-0.258154,-0.638974,-0.084434,8,0
55.227886,0.353352,-2.429031,0.023485,8,0
55.262615,-0.483425,-3.495534,4.22846,8,0
55.297313,-1.584513,-0.849578,2.188677,8,0
55.327037,-2.658869,-0.811387,0.596182,8,0
55.361766,-3.922794,-3.079605,1.981149,8,0
55.396465,-1.568229,-0.666543,2.080746,8,0
55.431163,-2.341714,0.862847,0.496517,8,0
55.460918,-2.352083,0.285963,0.774241,8,0
55.495586,-3.022748,0.224543,0.678075,8,0
55.530315,-2.12294,0.593922,0.249838,8,0
55.565013,-0.946619,0.478017,0.034472,8,0
55.594738,-0.402691,-0.429711,-0.487784,8,0
55.629467,0.618353,-0.457406,-0.606361,8,0
55.664165,1.079093,-0.413629,-0.104346,8,0
55.693889,0.884425,-0.476251,0.428965,8,0
55.728588,0.425457,-0.58536,0.217992,8,0
55.763287,-0.034241,-0.432141,0.107426,8,0
55.797985,-0.268532,-0.233773,-0.193828,8,0
55.82774,-0.817631,-0.276146,-0.511674,8,0
55.862438,-0.869912,-0.136744,-0.786998,8,0
55.897137,-0.557942,0.151132,-1.043171,8,0
55.931835,-0.48016,0.222604,-1.192736,8,0
55.96159,-0.294389,0.103595,-1.30143,8,0
55.996288,-0.276305,0.083124,-1.189073,8,0
56.030987,0.168147,-0.081797,-0.979459,8,0
56.060742,0.581866,-0.226084,-0.641621,8,0
56.09544,0.756702,-0.085155,0.02511,8,0
56.130139,0.794046,0.153358,0.19732,8,0
56.159893,0.567487,-0.006102,0.117014,8,0
56.194592,0.408255,-0.251152,0.037979,8,0
56.22929,0.646741,-0.278463,0.057188,8,0
56.264019,0.566325,0.0005,0.035332,8,0
56.298687,0.565593,0.227406,-0.043675,8,0
56.328442,0.679756,0.051418,-0.251805,8,0
56.363171,0.720752,0.231083,-0.095621,8,0
56.397839,0.075166,-0.261309,0.107611,8,0
56.427593,-0.222959,-0.415548,0.395763,8,0
56.462322,-0.494847,-0.617283,0.596616,8,0
56.49699,-0.854564,-0.279553,0.756735,8,0
56.526745,-1.108308,-0.112758,0.784591,8,0
56.561474,-1.082804,0.019219,0.697395,8,0
56.596142,-1.038167,0.126028,0.473269,8,0
56.630871,-0.823145,0.115477,0.004697,8,0
56.665569,-0.269495,0.028562,-0.344155,8,0
56.695294,0.435012,-0.001546,-0.41166,8,0
56.73,0.927797,0.280835,-0.134671,8,0
56.764698,0.800979,0.477194,0.096196,8,0
56.794422,0.235368,0.650371,0.152767,8,0
56.829151,-0.327243,0.475256,0.201324,8,0
56.863819,-0.412008,0.355342,0.281877,8,0
56.893574,-0.327856,0.245636,0.27578,8,0
56.928303,-0.21305,0.267632,-0.004872,8,0
56.962971,-0.057172,0.278265,-0.145347,8,0
56.9977,0.195951,0.111057,-0.241701,8,0
57.027454,0.171188,-0.002398,-0.191718,8,0
57.062122,0.19706,-0.263421,-0.191059,8,0
57.096851,0.564661,-0.403649,0.07082,8,0
57.13155,0.861595,-0.438992,0.293278,8,0
57.161274,0.927061,-0.28043,0.250415,8,0
57.196003,0.803256,-0.026909,0.161497,8,0
57.230701,0.654237,0.13256,-0.019469,8,0
57.260426,0.741865,0.126048,-0.09638,8,0
57.295155,0.238587,0.200324,-0.005144,8,0
57.329853,-0.010377,0.10735,0.003198,8,0
57.364552,-0.172466,0.03737,0.151507,8,0
57.394306,0.108103,0.008364,0.117312,8,0
57.429005,0.131097,-0.042937,0.141189,8,0
57.463703,0.166029,0.05047,0.317495,8,0
57.498402,-0.036439,0.109393,0.049376,8,0
57.528156,-0.036735,0.073898,-0.193957,8,0
57.562855,0.142064,0.277121,-0.100103,8,0
57.597553,0.008975,0.036232,-0.051706,8,0
57.627308,-0.001616,0.064206,-0.109337,8,0
57.662006,0.147967,0.063448,-0.033033,8,0
57.696705,0.143468,0.183415,0.009666,8,0
57.726444,0.201261,0.056935,-0.141315,8,0
57.761142,0.268819,0.125061,-0.128418,8,0
57.79584,0.321226,0.1092,-0.103763,8,0
57.830569,0.439034,0.091797,0.046404,8,0
57.865237,0.062169,-0.053037,0.208969,8,0
57.894992,-0.284716,-0.238507,0.150102,8,0
57.929721,-0.332973,-0.176015,0.102793,8,0
57.964389,-0.33351,0.050368,0.048176,8,0
